,gender,age,education,activity_work,educational_level,voted,party,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,ppltrst,pplfair,pplhlp,atchctr,atcherp
16722,Male,66,16.0,5,highly_educated,1,Volt,4,7,6,5,4,7,9,2,7,2,9,8
16723,Male,77,3.0,6,lower_educated,1,Labour Party,0,0,5,5,5,4,5,0,5,5,8,7
16724,Female,82,4.0,8,lower_educated,1,Labour Party,6,7,7,5,6,7,7,4,7,8,8,8
16725,Male,999,7.0,4,mid_educated,1,Party for Freedom,1,7,6,0,0,0,0,5,5,3,9,10
16726,Male,29,14.0,1,highly_educated,1,Christian Democratic Appeal,6,9,9,6,6,6,6,7,7,7,6,5
16727,Female,53,10.0,1,mid_educated,1,50PLUS,6,5,6,4,4,6,6,5,8,8,4,4
16728,Female,45,10.0,1,mid_educated,1,DENK,7,8,7,7,8,5,7,8,7,4,9,9
16729,Female,24,14.0,1,highly_educated,1,Democrats '66,7,9,8,6,7,7,7,7,8,8,9,7
16730,Male,36,17.0,1,highly_educated,1,Refusal*,8,9,8,7,7,7,8,8,8,7,6,7
16731,Male,19,2.0,2,lower_educated,3,Not applicable*,8,9,7,6,7,7,8,6,7,7,7,7
16732,Female,71,6.0,8,mid_educated,1,Labour Party,5,5,6,7,6,7,7,7,7,7,9,8
16733,Female,77,5.0,6,lower_educated,1,People's Party for Freedom and Democracy,6,6,7,5,5,6,7,7,7,6,10,7
16734,Male,22,16.0,1,highly_educated,1,JA21,7,8,7,5,5,4,6,5,6,4,6,4
16735,Male,22,10.0,1,mid_educated,1,JA21,2,6,7,0,3,0,2,7,4,5,5,3
16736,Male,66,4.0,6,lower_educated,2,Not applicable*,3,4,7,5,5,5,6,9,9,7,0,7
16737,Female,27,17.0,1,highly_educated,1,Volt,7,9,7,7,7,7,7,7,7,6,6,6
16738,Male,41,10.0,1,mid_educated,2,Not applicable*,3,7,8,2,6,6,4,4,8,6,3,1
16739,Female,76,2.0,6,lower_educated,1,Party for Freedom,2,2,6,0,1,0,1,1,1,4,5,2
16740,Male,90,1.0,6,lower_educated,2,Not applicable*,4,6,8,5,4,4,88,5,7,7,9,4
16741,Male,55,14.0,1,highly_educated,1,Christian Union,7,7,8,7,6,6,6,8,7,7,6,6
16742,Male,75,3.0,6,lower_educated,1,Party for Freedom,3,3,6,0,4,0,6,6,7,6,7,5
16743,Female,19,9.0,2,mid_educated,1,BoerBurgerBeweging,6,5,8,7,6,6,5,7,6,7,5,4
16744,Male,52,11.0,1,mid_educated,1,Socialist Party,6,4,3,5,5,2,1,2,6,4,2,0
16745,Female,53,6.0,88,mid_educated,1,Party for Freedom,8,7,8,5,3,3,4,5,7,8,8,8
16746,Male,21,12.0,2,highly_educated,1,People's Party for Freedom and Democracy,7,8,8,7,6,7,6,7,7,4,9,7
16747,Male,75,4.0,6,lower_educated,1,Christian Democratic Appeal,5,5,9,2,2,2,2,5,8,6,8,8
16748,Female,68,8.0,6,mid_educated,1,Party for the Animals,6,6,8,6,6,7,7,6,7,6,7,5
16749,Male,44,7.0,1,mid_educated,1,Party for the Animals,9,7,9,7,8,8,8,9,7,7,8,7
16750,Male,47,4.0,8,lower_educated,2,Not applicable*,3,5,5,88,88,6,2,4,8,5,7,4
16751,Male,73,3.0,6,lower_educated,1,Christian Union,3,3,7,5,5,7,8,5,7,7,8,5
16752,Female,67,5.0,6,lower_educated,8,Not applicable*,6,8,8,4,3,5,88,8,8,8,8,6
16753,Male,36,16.0,1,highly_educated,2,Not applicable*,3,5,8,6,6,7,7,6,8,5,8,5
16754,Male,62,3.0,9,lower_educated,1,People's Party for Freedom and Democracy,6,7,8,5,5,3,7,7,7,7,7,4
16755,Female,75,14.0,6,highly_educated,1,Volt,5,5,7,5,5,5,7,4,7,7,7,6
16756,Female,33,14.0,8,highly_educated,2,Not applicable*,6,8,10,6,7,6,6,8,7,7,7,5
16757,Female,77,2.0,6,lower_educated,1,Christian Union,5,0,3,4,8,5,7,8,7,7,8,7
16758,Male,52,17.0,1,highly_educated,1,Democrats '66,4,8,7,6,6,6,7,8,6,4,9,9
16759,Female,33,10.0,3,mid_educated,1,Christian Union,6,7,8,4,4,5,5,6,7,6,6,5
16760,Female,21,7.0,1,mid_educated,1,50PLUS,1,5,6,2,2,5,5,7,7,5,7,7
16761,Female,41,17.0,1,highly_educated,1,Volt,6,7,7,6,6,7,7,8,8,7,8,9
16762,Female,59,10.0,1,mid_educated,1,BoerBurgerBeweging,3,6,8,4,4,3,3,5,5,5,8,0
16763,Female,53,18.0,5,highly_educated,1,Don't know*,2,2,8,1,3,4,1,8,6,2,10,10
16764,Male,27,9.0,1,mid_educated,2,Not applicable*,7,4,5,5,5,5,0,5,8,5,7,0
16765,Female,63,14.0,1,highly_educated,1,Democrats '66,3,8,8,4,5,5,6,4,7,6,7,5
16766,Male,69,3.0,6,lower_educated,1,People's Party for Freedom and Democracy,6,6,7,4,5,5,5,6,5,7,7,7
16767,Female,69,14.0,6,highly_educated,1,Democrats '66,6,8,8,6,6,6,7,7,8,8,10,8
16768,Female,53,5.0,1,lower_educated,2,Not applicable*,7,9,7,5,7,7,7,6,6,7,7,7
16769,Male,65,10.0,6,mid_educated,1,People's Party for Freedom and Democracy,6,4,7,5,5,3,6,7,4,4,7,5
16770,Male,68,5.0,6,lower_educated,2,Not applicable*,0,4,4,0,0,1,1,5,8,4,0,2
16771,Female,60,10.0,1,mid_educated,1,Artikel1/Bij1,6,8,7,7,6,6,7,8,5,5,5,4
16772,Female,50,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,7,8,5,6,6,7,8,8,5,8,6
16773,Male,26,10.0,1,mid_educated,1,Christian Democratic Appeal,6,8,9,6,6,5,88,7,6,5,6,3
16774,Male,57,3.0,5,lower_educated,2,Not applicable*,4,7,7,3,3,3,4,8,6,8,5,4
16775,Male,76,3.0,6,lower_educated,1,BoerBurgerBeweging,1,0,0,0,0,0,0,2,0,0,3,0
16776,Male,16,2.0,2,lower_educated,3,Not applicable*,8,8,5,4,7,6,2,6,6,5,1,5
16777,Female,63,4.0,9,lower_educated,1,Don't know*,5,8,8,5,5,5,6,6,8,8,8,6
16778,Male,51,13.0,1,highly_educated,1,Socialist Party,7,7,8,8,7,7,6,6,5,5,8,5
16779,Male,67,9.0,1,mid_educated,1,Socialist Party,8,9,9,8,7,7,7,7,5,4,8,8
16780,Female,66,10.0,5,mid_educated,1,People's Party for Freedom and Democracy,7,8,8,8,7,8,7,8,7,8,8,8
16781,Female,50,14.0,1,highly_educated,1,Party for the Animals,7,8,8,7,6,7,9,8,8,6,8,8
16782,Female,76,4.0,6,lower_educated,1,Christian Democratic Appeal,5,3,5,6,5,3,5,6,7,7,7,6
16783,Male,80,3.0,8,lower_educated,1,Party for Freedom,5,4,7,5,6,3,5,6,8,8,10,7
16784,Male,47,10.0,5,mid_educated,1,Reformed Political Party,5,6,8,4,4,3,3,7,8,5,9,0
16785,Male,54,11.0,1,mid_educated,1,BoerBurgerBeweging,6,6,7,6,6,5,6,8,7,7,8,6
16786,Female,59,14.0,1,highly_educated,1,Democrats '66,8,8,7,6,6,7,8,7,7,7,8,6
16787,Male,42,10.0,1,mid_educated,2,Not applicable*,0,2,3,0,0,0,3,4,5,2,0,0
16788,Female,86,2.0,6,lower_educated,1,Party for Freedom,3,6,7,4,6,7,3,8,7,5,8,6
16789,Female,65,13.0,6,highly_educated,1,Democrats '66,4,8,8,7,6,6,5,7,5,6,0,9
16790,Female,28,3.0,5,lower_educated,2,Not applicable*,8,8,8,7,7,88,88,7,6,7,5,4
16791,Female,41,14.0,1,highly_educated,1,Christian Union,6,7,8,5,6,6,6,7,6,2,7,7
16792,Female,65,13.0,6,highly_educated,1,Democrats '66,6,6,6,6,6,7,7,7,5,5,8,8
16793,Female,77,4.0,6,lower_educated,1,BoerBurgerBeweging,5,7,9,4,4,4,5,8,8,4,7,5
16794,Male,49,17.0,1,highly_educated,1,Democrats '66,8,9,9,7,7,7,7,8,8,7,8,7
16795,Female,38,17.0,8,highly_educated,1,Party for the Animals,8,8,9,7,7,8,8,8,8,7,9,6
16796,Male,25,17.0,1,highly_educated,3,Not applicable*,8,8,5,7,7,7,6,8,8,7,5,4
16797,Female,33,9.0,1,mid_educated,2,Not applicable*,0,5,3,3,5,5,5,5,5,5,5,5
16798,Female,61,17.0,8,highly_educated,1,Christian Democratic Appeal,7,9,8,7,7,7,7,8,8,6,8,8
16799,Female,32,10.0,1,mid_educated,2,Not applicable*,7,7,8,7,7,7,7,7,8,8,6,6
16800,Female,22,6.0,2,mid_educated,1,Artikel1/Bij1,3,6,5,3,3,6,6,7,4,4,1,4
16801,Male,60,14.0,1,highly_educated,1,Democrats '66,7,9,9,6,7,6,6,7,8,6,7,7
16802,Male,38,4.0,1,lower_educated,1,People's Party for Freedom and Democracy,5,4,4,2,2,2,88,6,5,6,5,5
16803,Male,39,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,5,3,6,1,3,0,5,3,5,2,88,88
16804,Male,73,17.0,6,highly_educated,1,Refusal*,0,5,7,6,7,0,0,5,4,2,8,9
16805,Female,54,4.0,1,lower_educated,2,Not applicable*,7,7,8,6,6,88,88,5,8,5,9,7
16806,Male,61,5.0,9,lower_educated,1,People's Party for Freedom and Democracy,4,4,4,3,4,4,5,6,7,4,4,1
16807,Male,40,14.0,1,highly_educated,1,Christian Union,7,8,7,7,6,6,6,7,9,6,2,2
16808,Female,68,10.0,6,mid_educated,2,Not applicable*,6,7,7,6,6,6,7,6,7,7,7,5
16809,Female,54,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,9,9,7,7,5,6,8,8,7,8,8
16810,Female,51,17.0,1,highly_educated,2,Not applicable*,3,1,0,0,4,1,0,3,3,2,9,10
16811,Male,65,16.0,1,highly_educated,1,BoerBurgerBeweging,5,7,8,6,6,7,8,8,8,8,7,5
16812,Female,32,17.0,1,highly_educated,1,Green Left,8,8,8,6,7,8,9,7,8,5,8,9
16813,Female,18,6.0,2,mid_educated,3,Not applicable*,6,88,7,88,5,6,88,6,7,8,5,5
16814,Female,47,11.0,1,mid_educated,1,Party for the Animals,5,4,6,4,5,5,5,6,6,5,2,4
16815,Female,56,3.0,9,lower_educated,2,Not applicable*,6,7,8,5,5,4,4,6,6,5,5,7
16816,Male,48,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,7,7,5,5,6,6,3,5,6,7,6
16817,Female,16,2.0,1,lower_educated,3,Not applicable*,4,6,6,4,4,5,3,7,7,6,6,6
16818,Female,75,9.0,6,mid_educated,1,Labour Party,6,7,8,6,6,6,88,7,7,5,8,6
16819,Male,31,9.0,1,mid_educated,1,Party for Freedom,4,9,3,6,5,2,88,2,7,3,9,4
16820,Male,25,6.0,1,mid_educated,2,Not applicable*,5,4,7,6,6,7,7,2,5,6,1,1
16821,Female,24,10.0,1,mid_educated,1,Forum for Democracy,4,1,6,2,4,88,88,2,5,5,8,4
16822,Male,77,15.0,6,highly_educated,1,Democrats '66,7,8,7,6,5,7,6,8,7,7,8,8
16823,Male,42,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,2,5,7,2,2,3,7,4,7,5,9,4
16824,Male,60,2.0,1,lower_educated,1,Blanc,1,3,2,0,0,0,0,4,2,2,0,0
16825,Male,33,17.0,1,highly_educated,1,Democrats '66,8,8,7,7,6,6,8,8,6,4,8,7
16826,Female,58,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,6,8,7,6,6,8,6,7,6,9,8
16827,Male,77,17.0,6,highly_educated,1,Christian Democratic Appeal,7,8,8,7,7,6,8,7,7,7,9,7
16828,Male,43,10.0,1,mid_educated,1,Reformed Political Party,6,8,6,5,5,4,6,7,7,5,7,3
16829,Male,45,9.0,1,mid_educated,2,Not applicable*,2,8,9,3,4,3,4,8,8,7,3,3
16830,Female,70,4.0,8,lower_educated,1,Socialist Party,1,8,8,7,1,0,8,4,8,7,9,1
16831,Female,54,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,7,7,8,6,6,6,6,8,5,7,9,8
16832,Male,62,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,9,9,6,6,7,7,7,7,4,10,7
16833,Female,70,7.0,5,mid_educated,1,50PLUS,4,5,7,4,6,5,6,6,5,7,10,1
16834,Male,84,2.0,5,lower_educated,1,Party for Freedom,5,6,8,3,0,0,7,5,4,4,10,4
16835,Female,55,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,6,6,6,5,4,5,6,7,5,4,4
16836,Female,42,18.0,1,highly_educated,1,Democrats '66,7,8,9,6,6,6,7,8,8,8,8,6
16837,Female,56,4.0,1,lower_educated,1,People's Party for Freedom and Democracy,8,5,7,7,7,6,6,7,7,7,9,7
16838,Female,35,10.0,8,mid_educated,1,Party for the Animals,6,7,8,7,6,6,7,8,8,5,7,6
16839,Male,19,4.0,2,lower_educated,1,BoerBurgerBeweging,7,7,6,6,6,6,6,7,8,7,3,2
16840,Male,75,17.0,6,highly_educated,2,Not applicable*,8,8,8,9,9,9,9,8,6,9,6,6
16841,Female,67,16.0,6,highly_educated,1,Democrats '66,6,8,8,6,6,5,7,7,8,8,8,5
16842,Male,21,4.0,1,lower_educated,8,Not applicable*,88,5,7,4,4,5,5,3,3,5,4,5
16843,Female,49,10.0,1,mid_educated,1,BoerBurgerBeweging,6,8,7,5,6,5,7,7,8,6,8,6
16844,Male,75,15.0,6,highly_educated,1,Volt,6,8,8,6,6,5,4,7,8,8,9,7
16845,Female,31,4.0,1,lower_educated,2,Not applicable*,88,88,8,1,1,4,4,7,10,6,3,3
16846,Female,42,16.0,1,highly_educated,1,Democrats '66,4,4,5,5,3,7,6,8,7,3,7,7
16847,Male,40,14.0,1,highly_educated,1,Volt,8,10,9,7,7,7,9,8,8,7,9,8
16848,Male,74,17.0,6,highly_educated,1,People's Party for Freedom and Democracy,7,9,8,7,7,6,7,5,7,8,8,8
16849,Male,61,16.0,1,highly_educated,1,Refusal*,7,8,8,6,6,6,6,8,8,6,7,6
16850,Female,65,10.0,6,mid_educated,1,Party for the Animals,6,6,7,7,7,2,4,7,8,8,4,2
16851,Male,32,2.0,1,lower_educated,2,Not applicable*,3,3,7,3,3,3,4,8,5,6,5,5
16852,Female,57,10.0,1,mid_educated,1,Don't know*,5,6,6,4,5,6,6,6,6,7,6,4
16853,Female,32,10.0,1,mid_educated,1,Party for the Animals,7,5,8,3,5,5,5,6,7,2,3,1
16854,Female,81,4.0,6,lower_educated,1,People's Party for Freedom and Democracy,7,8,8,7,7,6,8,8,8,7,0,7
16855,Female,43,3.0,8,lower_educated,1,Reformed Political Party,3,7,7,3,5,5,88,5,5,5,5,0
16856,Male,46,6.0,1,mid_educated,1,People's Party for Freedom and Democracy,10,10,10,8,8,7,8,9,9,8,8,8
16857,Male,61,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,7,7,5,5,3,7,8,8,5,7,5
16858,Female,65,10.0,8,mid_educated,1,Democrats '66,6,8,8,4,4,6,88,6,7,7,4,3
16859,Female,60,10.0,1,mid_educated,1,Volt,6,6,8,6,6,7,7,8,9,6,8,7
16860,Female,17,2.0,2,lower_educated,3,Not applicable*,8,9,9,6,7,8,6,6,7,6,7,7
16861,Male,24,10.0,1,mid_educated,1,Party for the Animals,4,7,10,3,4,6,7,7,3,7,6,5
16862,Male,17,2.0,2,lower_educated,3,Not applicable*,6,7,9,6,6,8,6,2,4,4,5,6
16863,Male,57,14.0,1,highly_educated,1,Christian Democratic Appeal,6,7,7,6,5,5,5,7,6,6,8,8
16864,Male,55,8.0,1,mid_educated,1,Don't know*,2,3,5,2,2,0,1,5,5,7,2,0
16865,Female,71,6.0,6,mid_educated,1,Refusal*,7,8,10,7,7,7,7,7,7,7,8,8
16866,Female,22,9.0,1,mid_educated,1,Don't know*,88,88,7,6,5,5,5,7,6,6,6,6
16867,Female,68,17.0,6,highly_educated,1,People's Party for Freedom and Democracy,5,9,8,5,10,5,8,0,5,7,8,6
16868,Female,69,2.0,6,lower_educated,2,Not applicable*,5,88,7,88,88,88,88,5,5,5,5,88
16869,Female,64,4.0,8,lower_educated,1,Socialist Party,5,7,7,5,6,88,88,7,7,5,9,6
16870,Female,57,6.0,8,mid_educated,2,Not applicable*,5,8,8,3,3,5,5,8,8,7,7,7
16871,Male,48,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,9,7,8,8,7,9,9,8,6,6,6
16872,Male,23,6.0,1,mid_educated,1,People's Party for Freedom and Democracy,8,9,9,9,9,9,9,6,5,6,8,8
16873,Female,39,14.0,1,highly_educated,1,Labour Party,6,7,8,4,5,7,6,7,7,8,5,5
16874,Female,69,3.0,6,lower_educated,1,Democrats '66,3,3,6,3,3,2,2,6,7,7,7,2
16875,Female,43,14.0,1,highly_educated,1,Party for the Animals,7,6,8,5,6,7,7,6,7,5,3,3
16876,Male,84,8.0,6,mid_educated,1,Labour Party,6,7,8,5,6,6,8,6,6,6,8,7
16877,Male,74,3.0,6,lower_educated,2,Not applicable*,0,0,5,2,2,0,7,5,5,6,8,5
16878,Male,66,16.0,1,highly_educated,1,Democrats '66,8,9,8,8,7,8,6,9,9,8,7,7
16879,Female,27,9.0,1,mid_educated,1,People's Party for Freedom and Democracy,6,6,8,6,7,5,5,6,4,2,5,5
16880,Female,63,3.0,1,lower_educated,3,Not applicable*,3,6,7,3,3,88,88,8,7,6,7,6
16881,Male,58,11.0,1,mid_educated,1,Refusal*,7,9,9,6,6,7,7,7,5,8,8,8
16882,Male,59,17.0,1,highly_educated,1,Democrats '66,7,8,7,6,7,6,5,8,8,8,8,7
16883,Male,56,14.0,1,highly_educated,1,Don't know*,7,7,8,7,6,6,6,7,7,7,8,8
16884,Female,77,4.0,6,lower_educated,1,Christian Democratic Appeal,3,5,5,3,0,5,4,7,7,9,5,3
16885,Female,34,16.0,1,highly_educated,1,Socialist Party,0,5,7,4,5,0,7,3,5,3,8,3
16886,Male,62,16.0,6,highly_educated,1,People's Party for Freedom and Democracy,8,8,9,9,6,7,0,4,4,4,0,9
16887,Male,52,14.0,1,highly_educated,1,Democrats '66,5,8,8,5,6,88,6,8,7,6,6,6
16888,Female,70,2.0,6,lower_educated,1,Refusal*,6,5,8,3,3,3,6,5,8,7,8,8
16889,Male,20,6.0,1,mid_educated,1,People's Party for Freedom and Democracy,6,4,7,5,6,6,7,9,8,8,8,6
16890,Male,65,10.0,1,mid_educated,1,Christian Union,3,7,6,2,5,0,7,6,7,3,7,3
16891,Female,64,16.0,1,highly_educated,1,Forum for Democracy,8,8,7,4,4,7,6,7,5,6,9,7
16892,Female,25,10.0,1,mid_educated,1,JA21,6,6,8,6,7,6,6,6,6,4,6,8
16893,Female,82,4.0,6,lower_educated,1,Labour Party,6,5,8,6,6,5,6,8,7,9,8,8
16894,Female,65,17.0,9,highly_educated,1,Democrats '66,6,8,7,5,6,7,7,8,8,7,8,8
16895,Male,52,16.0,1,highly_educated,3,Not applicable*,4,7,7,3,3,4,4,8,8,3,6,8
16896,Male,82,10.0,6,mid_educated,1,JA21,0,5,5,3,6,4,7,7,5,5,8,6
16897,Male,23,15.0,2,highly_educated,1,Democrats '66,7,5,8,6,5,7,5,6,4,4,7,8
16898,Male,37,10.0,1,mid_educated,2,Not applicable*,7,8,10,7,5,88,88,3,9,9,7,3
16899,Female,22,12.0,2,highly_educated,2,Not applicable*,8,9,8,5,6,8,7,8,9,6,7,8
16900,Female,72,14.0,6,highly_educated,2,Not applicable*,4,5,4,4,4,4,4,6,6,4,5,5
16901,Female,71,16.0,6,highly_educated,1,Democrats '66,8,8,7,6,6,7,7,10,10,6,10,7
16902,Male,24,14.0,1,highly_educated,1,Party for the Animals,6,7,8,5,5,6,6,7,8,5,4,4
16903,Female,23,6.0,2,mid_educated,1,Democrats '66,5,6,8,5,6,6,6,6,8,4,5,5
16904,Female,50,16.0,8,highly_educated,1,Labour Party,6,5,3,6,7,2,6,8,9,9,8,8
16905,Female,47,4.0,3,lower_educated,1,Party for Freedom,0,3,0,0,2,0,0,2,2,2,2,0
16906,Male,63,6.0,3,mid_educated,1,People's Party for Freedom and Democracy,8,9,9,8,7,6,8,8,8,8,8,5
16907,Female,51,9.0,1,mid_educated,1,Democrats '66,2,6,7,3,2,1,3,8,8,6,8,6
16908,Female,41,4.0,8,lower_educated,2,Not applicable*,5,8,9,0,0,9,8,7,7,6,9,5
16909,Female,60,9.0,1,mid_educated,1,Green Left,6,7,7,5,5,6,6,7,7,7,7,7
16910,Female,35,14.0,1,highly_educated,1,Don't know*,6,8,8,6,6,7,88,5,3,6,8,7
16911,Female,60,4.0,1,lower_educated,1,Democrats '66,4,6,7,4,4,4,6,4,8,4,8,7
16912,Male,38,18.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,8,8,7,6,7,7,7,8,6,8,7
16913,Male,66,3.0,6,lower_educated,1,Labour Party,3,3,5,2,3,3,4,8,7,4,6,4
16914,Male,40,6.0,1,mid_educated,1,Party for the Animals,5,7,7,6,6,6,7,8,7,6,6,6
16915,Female,45,9.0,8,mid_educated,2,Not applicable*,5,6,4,6,6,7,8,7,8,2,5,5
16916,Male,52,12.0,1,highly_educated,1,Green Left,9,10,9,6,6,8,7,8,6,8,10,8
16917,Female,27,9.0,1,mid_educated,3,Not applicable*,8,9,88,7,7,9,88,7,8,6,7,3
16918,Female,21,9.0,8,mid_educated,1,Don't know*,5,7,7,5,5,6,6,6,6,3,4,4
16919,Male,54,7.0,1,mid_educated,1,Green Left,6,7,6,4,4,5,4,8,7,6,7,7
16920,Male,53,3.0,1,lower_educated,1,Party for Freedom,1,7,7,1,2,2,2,2,3,6,9,0
16921,Male,68,7.0,6,mid_educated,1,Volt,8,9,6,6,6,7,5,8,8,7,8,7
16922,Male,76,3.0,6,lower_educated,1,Labour Party,7,10,10,10,10,8,8,10,10,10,0,0
16923,Male,53,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,8,10,6,3,1,1,8,8,8,9,1
16924,Male,43,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,7,88,10,6,5,5,9,8,8,6,10,8
16925,Male,54,6.0,1,mid_educated,1,Christian Democratic Appeal,5,6,7,4,5,3,7,7,8,8,9,7
16926,Female,66,11.0,8,mid_educated,2,Not applicable*,2,2,5,2,2,2,6,5,9,9,10,4
16927,Female,60,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,7,7,7,7,8,6,7,6,8,6,9,8
16928,Male,50,10.0,8,mid_educated,3,Not applicable*,6,6,8,3,4,4,4,5,5,4,7,7
16929,Female,68,10.0,6,mid_educated,1,Party for Freedom,3,5,5,6,5,0,0,7,6,7,9,5
16930,Male,76,14.0,8,highly_educated,1,Labour Party,7,8,9,7,7,7,8,8,8,7,8,8
16931,Female,37,17.0,8,highly_educated,1,Democrats '66,6,8,8,5,5,5,6,6,6,4,6,3
16932,Male,69,3.0,6,lower_educated,1,People's Party for Freedom and Democracy,6,8,9,6,6,4,3,3,5,4,8,6
16933,Female,27,14.0,1,highly_educated,1,Don't know*,4,5,8,4,5,5,6,5,7,4,4,6
16934,Female,85,3.0,6,lower_educated,1,Christian Democratic Appeal,4,5,6,3,2,6,5,5,6,7,8,8
16935,Female,35,17.0,1,highly_educated,1,Democrats '66,4,7,7,7,6,7,6,8,7,5,7,7
16936,Female,16,9.0,2,mid_educated,3,Not applicable*,8,8,8,7,7,8,8,7,7,6,5,6
16937,Female,69,9.0,1,mid_educated,2,Not applicable*,7,7,5,88,88,88,88,7,4,4,0,0
16938,Male,38,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,8,8,6,6,88,88,8,7,7,7,6
16939,Male,53,10.0,1,mid_educated,1,Christian Democratic Appeal,7,8,8,6,8,6,8,5,8,7,7,7
16940,Male,45,15.0,1,highly_educated,1,Party for the Animals,8,9,8,6,7,8,9,7,9,7,8,7
16941,Male,73,2.0,6,lower_educated,1,Christian Democratic Appeal,6,6,7,6,7,6,4,8,7,5,6,5
16942,Female,79,4.0,6,lower_educated,1,People's Party for Freedom and Democracy,7,8,8,8,8,6,7,7,8,9,9,8
16943,Female,57,14.0,8,highly_educated,1,Christian Democratic Appeal,6,7,8,6,6,5,7,7,7,7,8,5
16944,Male,64,3.0,5,lower_educated,1,BoerBurgerBeweging,3,0,5,4,4,0,6,5,3,4,10,5
16945,Male,43,4.0,1,lower_educated,1,People's Party for Freedom and Democracy,8,10,9,7,7,7,8,7,7,5,7,7
16946,Male,20,7.0,2,mid_educated,1,Democrats '66,8,9,9,8,8,8,9,7,9,4,8,7
16947,Male,42,14.0,1,highly_educated,1,Democrats '66,7,10,10,3,5,2,2,7,7,9,10,7
16948,Female,50,9.0,5,mid_educated,2,Not applicable*,0,0,2,0,1,0,1,5,7,5,5,5
16949,Male,26,7.0,2,mid_educated,1,No answer*,2,9,7,0,0,5,4,8,8,3,5,5
16950,Female,37,1.0,1,lower_educated,1,People's Party for Freedom and Democracy,6,8,9,6,8,6,6,7,5,2,10,10
16951,Male,65,13.0,1,highly_educated,1,Christian Union,0,2,6,0,3,1,7,6,7,6,8,2
16952,Male,51,17.0,1,highly_educated,1,People's Party for Freedom and Democracy,2,2,9,1,1,0,0,3,5,3,0,0
16953,Male,33,4.0,1,lower_educated,1,Forum for Democracy,2,6,7,4,2,88,6,6,5,7,8,7
16954,Male,24,14.0,2,highly_educated,2,Not applicable*,8,8,9,7,7,8,7,7,6,7,7,8
16955,Male,17,4.0,1,lower_educated,3,Not applicable*,6,7,8,6,7,7,6,7,7,6,7,6
16956,Female,73,4.0,6,lower_educated,1,Socialist Party,3,6,8,3,3,7,5,8,8,4,10,10
16957,Male,83,4.0,6,lower_educated,1,Reformed Political Party,1,7,7,1,5,7,6,5,8,7,8,6
16958,Female,58,10.0,1,mid_educated,1,People's Party for Freedom and Democracy,8,8,8,7,7,7,7,6,7,5,8,7
16959,Female,19,7.0,2,mid_educated,3,Not applicable*,7,6,8,6,4,8,8,8,5,3,6,4
16960,Female,29,14.0,1,highly_educated,1,People's Party for Freedom and Democracy,8,8,8,7,7,8,8,7,8,5,4,2
16961,Female,19,7.0,2,mid_educated,3,Not applicable*,7,9,7,5,5,6,88,5,7,6,6,8
16962,Male,36,16.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,5,6,7,7,5,5,7,7,5,9,5
16963,Female,46,9.0,8,mid_educated,1,Christian Union,5,6,7,2,2,6,7,8,7,7,7,7
16964,Male,32,4.0,1,lower_educated,2,Not applicable*,3,5,5,3,2,0,3,5,8,5,5,3
16965,Female,52,11.0,1,mid_educated,1,People's Party for Freedom and Democracy,7,6,7,7,7,6,7,8,7,7,7,7
16966,Male,19,5.0,1,lower_educated,3,Not applicable*,5,7,5,6,6,6,8,5,3,3,7,4
16967,Male,18,4.0,2,lower_educated,3,Not applicable*,6,6,8,7,6,5,8,8,8,9,8,3
16968,Female,33,9.0,1,mid_educated,1,Green Left,7,9,9,8,8,8,8,7,5,7,8,8
16969,Male,83,16.0,6,highly_educated,1,No answer*,7,8,7,6,6,7,6,6,6,5,8,8
16970,Female,29,14.0,8,highly_educated,2,Not applicable*,6,8,9,4,6,7,7,3,6,6,3,6
16971,Female,74,3.0,6,lower_educated,1,Socialist Party,6,7,7,6,6,88,88,6,7,6,8,6
16972,Male,66,14.0,1,highly_educated,1,Party for the Animals,6,7,7,6,5,4,4,7,7,7,9,8
16973,Female,52,13.0,1,highly_educated,1,Democrats '66,7,7,8,6,7,2,7,7,5,6,9,7
16974,Female,46,12.0,1,highly_educated,1,People's Party for Freedom and Democracy,6,7,7,6,7,5,6,7,7,5,8,6
16975,Male,22,9.0,2,mid_educated,1,Reformed Political Party,3,6,8,2,3,3,5,4,4,3,5,5
